ProteinName	LE_1-12_10_10	LE_1-12_103_103	LE_1-12_104_104	LE_1-12_22_22	LE_1-12_23_23	LE_1-12_24_24	LE_1-12_36_36	LE_1-12_37_37	LE_1-12_38_38	LE_1-12_50_50	LE_1-12_51_51	LE_1-12_52_52	LE_1-12_66_66	LE_1-12_67_67	LE_1-12_68_68	LE_1-12_69_69	LE_1-12_8_8	LE_1-12_88_88	LE_1-12_89_89	LE_1-12_9_9	LE_1-12_90_90	LE_1-12_91_91	LE_1-12_92_92	LE_1-25_101_101	LE_1-25_102_102	LE_1-25_18_18	LE_1-25_19_19	LE_1-25_20_20	LE_1-25_32_32	LE_1-25_33_33	LE_1-25_34_34	LE_1-25_46_46	LE_1-25_47_47	LE_1-25_49_49	LE_1-25_5_5	LE_1-25_6_6	LE_1-25_61_61	LE_1-25_63_63	LE_1-25_64_64	LE_1-25_65_65	LE_1-25_7_7	LE_1-25_80_80	LE_1-25_82_82	LE_1-25_83_83	LE_1-25_85_85	LE_1-25_87_87	LE_1-6_105_105	LE_1-6_106_106	LE_1-6_11_11	LE_1-6_12_12	LE_1-6_13_13	LE_1-6_26_26	LE_1-6_27_27	LE_1-6_28_28	LE_1-6_39_39	LE_1-6_41_41	LE_1-6_42_42	LE_1-6_53_53	LE_1-6_54_54	LE_1-6_55_55	LE_1-6_70_70	LE_1-6_71_71	LE_1-6_72_72	LE_1-6_74_74	LE_1-6_93_93	LE_1-6_94_94	LE_1-6_95_95	LE_1-6_96_96	LE_1-6_97_97	Lymphnode_1_1	Lymphnode_100_100	Lymphnode_130_130	Lymphnode_16_16	Lymphnode_17_17	Lymphnode_2_2	Lymphnode_29_29	Lymphnode_30_30	Lymphnode_31_31	Lymphnode_4_4	Lymphnode_43_43	Lymphnode_44_44	Lymphnode_45_45	Lymphnode_56_56	Lymphnode_57_57	Lymphnode_58_58	Lymphnode_60_60	Lymphnode_75_75	Lymphnode_76_76	Lymphnode_77_77	Lymphnode_78_78	Lymphnode_79_79	Lymphnode_98_98
A2RRP1	166096.8	0	69741.5	56480.9	0	0	0	59750.8	115623	171038.4	30006.9	190444.9	0	0	58511.4	0	52735.7	344153	0	0	83716.51	0	150176.7	220723	0	0	153419	0	179053.5	157078	0	208848.7	77522.1	109195	164755	0	0	0	0	45243.7	263035	63483	190223.3	243300	297495	43086.8	0	0	0	150810	134111.3	142207	0	0	0	113786	167975.5	0	72888	265941.2	143401.7	135191.2	0	112749	28250.1	0	65600.1	9971.95	64680.9	87965.8	68021.3	0	171689	0	591722.3	370459	125493.3	246071.9	0	88322.2	117748.7	159843	0	297343.6	287144	69193.1	166574	20518.5	286903.9	134236.6	139478	0
A2RTX5	0	0	0	0	673867	0	594830	540873	0	356705	0	439977	309288	347330	99309.2	117325	293207	443559	156560	664578	215681	262309	249724	451390	0	108215	0	348367	433836	248044	348123	517140	396873	292672	320523	51517.6	0	0	361424	515652	561525	323123	635288	394378	0	229376	135346	0	313301	455385	325074	0	358184	0	0	520107	584332	203213	342692	354382	321231	425810	692510	813378	209382	157781	497263	188590	304433	0	0	303571	365109	503666	838285	0	722698	512838	328607	303924	535584	643556	149936	189139	162457	178710	696708	105133	512389	0	198982	223427
A3KMH1	1078780	0	0	923475	2271228	316263	1214510	1059044	1224620	2767248	0	3057665	246793	1862952	723203	693164	0	559211	368362	1765335	3505470	2791001	594614	0	0	1173963	1064638.8	1142889	1402104	1174879	2200490	1279284	385172	0	983334	113295	701120	272327	654508	894385	2313908	3530682	10591903	3084980	2510440	4177035	0	1094420	1603719	1180511	443305	0	1529970	0	0	9091361	1518945	0	2020190	5145739	1684544	4367289	568206	2310426	366015	2870896	4359026	3963217	2789460	761891	0	887351	1064470	1064297	4021010	2755714	677586	2758290	1232803	4954022	852780	701935	2730800	4014085	0	866676	424155	2342355	2224650	657639	0	481987
A3KN83	0	0	0	95775.8	180145	0	0	137977	236769	87767.1	0	84630.3	0	57694.3	0	0	46130.8	109516	0	306306	84061.4	0	0	0	0	0	0	0	0	126750	149696	166359	0	0	0	0	0	0	0	140781	203319	102521	185387	0	0	0	0	0	0	71776.9	117194	0	0	0	0	211808	124782	0	0	76111.6	100277	0	110045	0	0	45313	230378	145941	0	0	0	89331.8	104889	107329	0	416066	41090.4	0	0	278105	293368	70699.8	94096.1	0	178791	0	144173	85238.3	136055	0	0	126177
A4D1P6	2685606	2035780	2135788	1743844	18386876	1721240	1612162	1352225	9573477	1098447	817797.3	4278365	1276660	4969329	958363	695470	5843353	3432250	4485102.8	10741997	2102309.7	3392274	3899104	1821504	0	1767133	1007690	2895859.4	5355080.4	2987705	4733700	9117884	4412568	1229140	2129488.9	535530	2100585	1104790	6506313	7440660	11600012	7159309.9	6071549	5960151	2606650	5103255	1611410	4032356	7553670	12299270.9	8618981	897395	1415448	262850	261181	9578253	6082690	2728833	3263071	7488000	1387435.8	6304008	1977910	7150712.1	2699725	4731533	12181003	8676243	4896964	1296777	2150792.8	6579391	12245897	4131458	31601897	3348160	4874119	5249355	3586192	5300087	5535658	4884872	2163760	6096323	3733205	3441052	3737345	3051894	4685950	1176044	2302471	2522560
A4D1U4	0	0	0	0	0	0	0	0	1332020	0	0	0	0	699794	273100	0	390061	577149	0	0	992291	0	0	0	0	0	0	0	799599	0	1720450	0	0	836874	0	0	0	0	0	785355	0	0	0	699484	0	1110250	0	0	386111	0	0	0	0	0	0	1979580	0	0	0	2184690	0	0	1187540	0	0	0	1587790	391202	0	0	990497	650288	609180	813265	1153970	474516	0	925913	0	0	0	0	1379060	0	0	0	0	545486	0	0	0	0
A4FU69	335058	0	0	362267	0	0	490287	0	0	0	0	0	274520	0	56857	0	0	95221.1	0	0	0	413524	0	839426	0	270249	0	324663	0	0	0	383002	655193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	548545	0	402220	0	345164	0	0	0	0	0	0	199488	0	314633	0	0	0	0	124859	0	0	0	0	0	0	0	0	0	402404	0	0	0	0	0	710754	0	196309	0	0	0	0	0	0	337158	505441
A5YKK6	9327874	3996181	5422855	6727065	22143671	5041538	18424759	4544014	29336330	10891490	2176022.2	24689217	4229300	23091008	6015066	1326560	9073116	10373790	12681680	21034865	16243128	18111240	33048225	21943710	0	14202328	2131978	4859320	9943140	18076584	24419785	22417566	20581310	14872730	16104432	977632	15267720	2933533	15823447	17652976	21198188	26295114	39777140	22032862	16507278	16279130	8007099	22558012	18634657	13917157	12361589	1574467	7306411	975103	17797370	32074820	19173470	9250159	17768090	31282175	8358650	25589617	24804680	17156100	10765557	16668001	26447690	26071838	24272422	4692449	8864070	14126090	15726500	11126025	17975576	9059740	18899892	22073056	5670148	19482530	16151701	26255310	19611850	27648156	20463124	7829047	9919270	7929178	18506606	10340299	16401598	22736719
A6NC98	2108956	218708	2384542	0	1019315	0	5243606	1951344	5823851	3487649	193108	474022	0	2232893	86249.3	0	1402643	1058020	259777	2459212	2174168.8	3159270	3058755	4066697	2691380	116488	0	536589	1187014	1449301	5298865	2107818	2446672	539949	2502233	0	546190	1621927.5	968176	3291501	3002890	1988374	2184914	2385074	3365476	2648105	2126652	1045789	1756749	170297	0	0	644903	0	0	6380884	2783447	278373	280451	2952909	1855832	2739550	1230570	5959710	1331480	424284	3959407	121275	629387	248114	1651359	375990	2200031	969991.4	4974889	4457462	6179697	4459305	1782269	999972	4349442	3979630	3019292	982933	4730679	726615	1640879	2030620	3121759	2080442	1673400	2506104
A6NDG6	0	0	1004950	0	3336791.5	27589.3	0	1060140	2705690	2490450	0	2645686.8	1901910	2131900	0	890447	1697660	1136070	0	3133470	44655	2855860	2911530	2255830	0	0	0	1574968	1622890	2568640	988947	2940831	2588810	0	2070070	627059	1211440	947966	2843280	2066769	2769420	0	0	2932990	3107410	3152319	0	2371510	1498660	2130910	1935047.3	0	0	1513450	2665220	3816980.1	4587031.2	0	0	2182270	0	3258100	4532455	0	1987530	2721850	2161700.1	0	1627870	862340	1429430	1119319.6	2561070	2713990	3525254	2975190	3125568	1650220	1391610	0	2077890	2256881	1654170	1709710	1893440	1020470	1512960	2442433	2624337.6	1997940	2680810	1587720
A6NHL2	264178	320890	908629	140105	5136930	139037	1461740	173421	0	272274	675825	409311	512653	1149140	546020	575314	2650630	565010	1263300	1594840	1157880	717033	1117730	0	0	134376	0	3963630	2704410	1873840	232465	702183	434367	227983	1654390	734837	248503	368987	1642320	1083580	809622	1390180	0	220235	231716	989273	847732	394722	1822180	2505820	2557680	0	0	0	0	385999	551880	635569	1277440	1540020	0	760665	480534	172546	1879520	1224560	1266810	622025	460762	0	1003480	2461850	1825070	4786380	3840780	0	1862830	857781	1487240	520600	901172	1418870	1032160	990597	980146	373009	0	469955	893176	490277	385959	1050190
A6NHQ2	13364400	20112400	25506000	6871670	679297	7054360	46432900	44486300	54808100	37164300	10565000	37591400	25542300	30942200	15933300	17275700	31237200	34511000	27247200	51370700	29954700	26687400	32865000	58855000	0	10826300	214713	27803400	48676000	33633200	48399600	56246600	38506500	22793400	29996200	8308540	47662100	33585100	54375100	54638700	50447400	44974900	49940300	32518600	40778300	46557300	28841700	37037000	35012100	23627600	29946700	3514760	21392200	0	0	51064300	46930800	20370100	32497300	45770700	38226200	37268500	62605000	56736700	25704800	32415000	53643700	47184200	28556700	11355400	29949100	26800700	30343500	40053000	70896800	54101800	44734300	49662200	29628600	41450200	67317100	42556900	33231400	45539400	51069000	40180100	38297800	31710200	33762100	20951000	29744000	39447400
A6NHR9	2094899	14013188	5318659	3928249	6848110	2861018	11972430	3419647	23130766	10994820	1099997.5	8817806	2172237	8487571	1366876	1932857	3376982	5795937	3405720	6916694	12140740	6243099	5872728	14025590	2733956	9371946	1603227	2440718	7413587	15197494	17771544	15687242	9108231	9794776	13404544	1583255	12896200	1138121	18253381	15698292	11607646	15147728	20161080	12954870	18346011	8222490	6512324	15630710	13035856	8714594	6738420	0	9681317	2235534	7392910	27179950	18706808	2964023	10615905	18001036	4538379	7813362	11844286	7335026	10344984	7026972	12400321	15262297	14267010	783404	4139507	7780966	7577748	9149175	24296077	13760062	21802220	20647380	2109201	17114000	17449900	14581257	8783510	12921388	12709776	4412613	6731730	3721290	13708762	4706586	9910170	8813340
A6NIH7	656236	0	0	683897	2974440	405401	2788180	0	2769630	0	0	0	0	1064920	0	0	1246500	912687	0	2026570	0	0	1033270	2125370	0	1054000	0	0	0	0	1788760	0	1487520	1434050	0	0	0	0	1778290	1496140	2187910	1218800	1176750	2346300	1350250	552688	1042710	0	0	0	1537760	0	1288080	0	1132200	0	1180200	1781820	978216	0	0	1484230	2841090	2050840	1385170	661759	3150340	1538550	0	0	1106220	872173	1628970	2005230	0	0	1204670	1069360	0	1178380	0	1322630	0	0	0	489863	0	546984	417136	0	634344	1227880
A6NIK2	0	1647080	625914	0	2451130	0	0	0	0	0	57649.7	0	3219630	0	1467230	0	2698470	1781240	3195950	0	0	0	3009400	4064020	0	0	0	166854	2432700	1536770	3945620	0	1579670	3857360	0	0	3268460	134253	3412150	1856320	2975160	3197580	3258660	3638770	4997510	687816	3701850	5528760	0	4484530	2127760	0	304031	1406240	2659150	5076590	1276840	516737	2181620	0	0	0	3775300	3235660	4161710	0	3105190	3774550	4164930	506197	2501180	2504290	2324740	2713260	1478400	2248040	4981000	2144670	714270	3422440	337691	0	3541140	3290730	2656430	1096310	962569	714358	2837440	1665540	1977190	2154180
B0I1T2	20768596	15156780	27922064	15521103	61300950	15428660	44760440	33492640	61987610	34558475	9188264.9	32822042	24848230	25314400	12288895	11416437	28392540	28600700	27812720	75621480	38376490	31676650	43391330	63131386	12299890	25942830	8700608	29660910	60501100	26606840	57118200	60146119	35692490	22121583	42309420	12524102	48511430	26975110	57838100	50455930	50219850	50952690	59919050	75724330	28946970	40945620	33826210	40333530	35260420	53934070	46384110	9868430	19814438	6349170	38987220	91352930	59642220	21856220	33118499	66457490	41603920	33265140	67009420	65639230	30403840	24098938	53418630	52450850	32737410	10028561	30247260	32664600	52520630	39432090	83258070	60403470	61480350	61724940	34868427	59418450	47724410	39294310	32031730	38709430	53375410	38392631	31394545	31688614	42261140	19239612	20147120	46648294
B9A064	2080190	0	0	0	1581980	2709290	0	1209510	0	5759820	736036	0	3742780	3067820	0	541709	0	6245070	5101700	0	7918800	1044360	8693250	5121170	4932000	2881550	9321580	0	1258590	1930140	0	5566000	4163780	4559640	0	0	0	5083580	0	0	0	6931990	12318100	5122490	7019740	5204150	7591290	7238540	3667460	1609340	1887150	4849150	4061840	971150	0	9249180	1122710	4167230	1243940	3613700	7597630	3016500	7594780	7980670	10948700	2292180	9384790	7638600	5478400	0	5725350	2562760	3641890	3071080	4626120	5913790	3733540	2458540	4559930	15678800	1258030	0	0	3081840	557397	2896800	6075940	0	4549900	2343240	1973650	8910390
C9JLW8	0	0	0	0	1417870	0	0	0	2379200	1115680	0	0	0	1087540	0	0	0	491491	484366	0	408484	1272050	889149	0	0	0	0	0	759408	0	1279980	588966	1440030	0	0	0	0	0	0	0	2039600	1293740	2009100	0	0	0	0	0	1095000	1159980	0	0	0	0	0	0	812905	0	0	0	0	0	1295620	0	0	0	0	0	1207680	0	0	827874	0	0	0	1304700	0	0	483640	0	0	0	0	1176970	0	281771	757498	0	1119960	256905	1011620	0
E9PRG8	1602150	1430150	1776380	1178670	3903130	813003	2739920	4261180	4697000	1567260	652910	1775910	1298310	1962960	487729	454448	2752140	1774550	1355420	4570430	2700400	1105020	1467290	2068660	0	1213510	766161	3414720	3706690	2123080	3249170	4063230	2520530	1473390	3501490	355443	4626350	1995550	3786920	3867000	4511920	3235050	3314390	2219680	2604020	3777260	1412220	2882960	2272120	2887160	1841390	503532	739028	0	2782730	4069980	4346050	1118210	1563650	2337150	1602030	1702750	3292030	4332700	1267960	1567900	3846510	4136240	1986950	640678	1173200	2331000	3481830	3795550	7680090	5140770	4368790	4081380	2181130	3702760	4735590	3885300	1449860	2615740	3923740	3262640	2156140	1179020	2053540	1404610	1007330	3061430
L0R6Q1	1926693	2223002	2688500	1769131	5429720	1813666	3827770	1402811	2176620	3176428	429704	3089637	2430364	3663350	1700339	596565	2763380	2536087	3829880	2201538	3354410	3137806	2690504	4520250	2341930	2709324	131243	1759800	1465170	2025810	3904140	2919310	2819794	3152100	2532280	582142	3196619	664379	4468200	3333750	4898710	950390	4250476	3972340	4573910	3138620	3095726	4199692	2959740	4786790	3287608	1627876	1421199	1130260	3046060	5044520	997888	1920118	625520	5587590	2660150	2386710	4452030	6567020	3602330	2457427	6188920	4071590	3712270	2833746	2710900	3800450	4026170	1014430	7825700	4995040	4579700	4729920	1287930	3627480	4191390	1889820	3179290	3433410	4487880	839053	3162135	2084296	3553720	2642762	2851569	3921670
O00116	535858.9	73741.8	0	1158900.3	3343002.3	956840.3	0	882944.9	583044.7	745083	158399.2	353775.6	0	751628	1153150	54149.4	869267.2	1691590.5	1355827	3046632	1980940.8	2232030	1806031.1	2045260	0	170459.7	49337.7	323468.8	1038779	0	525674.9	3352205.8	389545.9	2187785.6	896798	0	1855478	0	1130015.9	529604.6	192611	2093309	2206017	215731.4	1971554.1	1684010.9	0	254576	392763.4	823958	1495479	235450	0	0	0	1356928	317007.2	0	0	3845017.5	407133.9	51689.5	431069.2	220592.4	1187420.3	816142	2820634	318261	3086562.4	0	635823	0	235537	958894	469160.4	3299226.2	1197705.1	439761.7	1499920	670597	1125871.7	521018.1	1839305.1	1876577.4	2337118	0	1623965.1	2467068.3	640693.3	321468.9	1089400	1383848.3
O00139	6887390	3814824.7	8723797	6335724	20693146	6428106	14560748	9330654	23756292	13729083	1678566	8891958	2349755	9503442	1076092	2771263	11527809	10379856	5841573.5	20298821	11233545	5466854.9	8828735.5	18125020.5	2821140	10565617	6272840	9726470	16197176	7596955	17908983	18859432	15534085	9152903	12839516.7	3377872	13126669	7180269	19475931	10607876.2	13463559	14641401	15904805	10086183.5	19967216	21081465	2693182	15166450	12066972	17316646	14573612	1778859	5629411.2	1678603.2	6771730	22510128	16384239	3548675.4	3838715	17104582	8099941	9662738.6	17892856	18653718	10664138.2	7419936	20744870	15639287	4758353.8	2962854	2930055	6958336	14671062	19044488	30309433	12002050	24537356	19578420	8320343	11582529	10957559	18295746	10551769.6	10162615.8	16745002.5	11249936	8888326	9334506	13429743.6	6610029.7	8548837	18120389
O00148	2227426	1406012.5	3521362	1192805	10533723	1277055	2070449	1718030	3573090	955962	359664	3385526.7	1285551	1861812	791910.6	668890	2221308	2438485	1402587	3633894	3791229	1827146	1679963	4313812	0	1788869	469896	1540656	5260828	2089066	3296479	7352406	2651723	548356	2381731	375643.2	3301071	1862916	12155500	12983106	4706611	3627249	9176154	1591647	1440960	5581599	1665472	2322195	2509828	8026923	2785857	173174	1634938	0	0	4983197	7129409	1064366	4280036	6140566	2507797	2696701	8538558	5422430	1648930	1509903	4297460	5002287	5740641	689789	1600911	1181078.4	1978337.1	9379423	4895750	7609841	3487234	4064302	2172375.7	2978618	4975419	3585999	2686993	1995782	7130491	3977802	8333428	2022067	1989604	684081.5	1011201.4	3470324
O00151	38541898	46718811	21764259	80788791	49167364	68820691	52552648	54126970	51878202	33703596	14785728	29693524	21275977	34133983	17374379	18260988	34212494	40674915	39845184	53570250	32270013	39716370	44051619	100626380	22648310	34568892	100695237	26148616	46807544	51354410	93960475	57561196	48708406	31197779	43570133	7754661	60935826	22064173	49606431	65112055	36735188	30405775	64884077	35694184	46275977	40763247	38678964	78603503	28075122	27337324	36595228	57599692	45100984	69657320	48345940	54545482	64424124	17210482	72341521	53919780	57815611	33634692	71653822	87127060	46090890	49916311	49832670	53295900	40927143	13843128	42814271	33062899	30478865	48925340	57544969	57489629	68774509	59858767	56463877	59920985	41094419	99666343	24240449	60966980	49682214	71348600	85986476	19808366.6	51653370	18768514	38199460	35523575
O00159	19958356	22889670	20399340	27105740	39534030	36095400	48438990	46769130	66057710	27043970	15758244	31623960	60703130	36846340	11762475	9104978	19242449	52107040	44405020	41831310	76325410	55301690	65422550	84837940	29482650	35253570	19525811	14449850	33846860	33020410	53768330	56527850	52674720	55395400	19281040	5955547	62249900	27401844	62150050	58308370	48356420	28828470	91134820	57254740	92850790	40035870	41179590	81938290	14380630	36596100	55651070	37705300	72730970	14799543.5	35950400	52621210	49998330	20408460	59163700	61529050	41111850	36162170	106638600	73764810	54951290	32606640	56987070	54054750	60458250	7025694	47871780	22637200	20451450	53983860	29900070	49570750	71725570	97799660	17655830	71269880	43765580	94620940	24064276	50558340	32327510	63946210	46285500	24457553	43345390	27934840	67672780	48598810
O00160	1503888.3	1513757.7	4568466	1269620	5214032	1800333.7	5795533	3990080	5383807	4395121	1163785.8	4659518	1470626	2299704.1	1006070.8	1273727	4133652.2	3465794.7	2246114	6970790.6	3863466	4656170	5153869	5282717.2	1652940	3168895.4	1198743.9	1422909	6860372	2370922	3974948	9159544	7044908	2038845	6226115.5	1102474.7	2644579.1	1629197	6476948	6506039.1	5636179	2161454.1	8955516	1807855	3370388	3588474.6	6135827	6866332.7	3254072	6783642	3537555	762693	3774557	131930	2079860	8524726	5225410	2955434	3455436	6514702	2872188.2	4537414	8414433	6928936.7	3083761	3156528	6101266	6310980	5319779	238948	4103518	5889604	5479886.6	3022302.5	10829048	6625746	7741099	3249024	5360630	3610508	2693431.2	6376425	4678584	4096753.5	4059844.1	4839109	2928403.3	3620555.1	3599616	1546814	1014735	4858540
