ProteinName	LE_1-12_10_10	LE_1-12_103_103	LE_1-12_104_104	LE_1-12_22_22	LE_1-12_23_23	LE_1-12_24_24	LE_1-12_36_36	LE_1-12_37_37	LE_1-12_38_38	LE_1-12_50_50	LE_1-12_51_51	LE_1-12_52_52	LE_1-12_66_66	LE_1-12_67_67	LE_1-12_68_68	LE_1-12_69_69	LE_1-12_8_8	LE_1-12_88_88	LE_1-12_89_89	LE_1-12_9_9	LE_1-12_90_90	LE_1-12_91_91	LE_1-12_92_92	LE_1-25_101_101	LE_1-25_102_102	LE_1-25_18_18	LE_1-25_19_19	LE_1-25_20_20	LE_1-25_32_32	LE_1-25_33_33	LE_1-25_34_34	LE_1-25_46_46	LE_1-25_47_47	LE_1-25_49_49	LE_1-25_5_5	LE_1-25_6_6	LE_1-25_61_61	LE_1-25_63_63	LE_1-25_64_64	LE_1-25_65_65	LE_1-25_7_7	LE_1-25_80_80	LE_1-25_82_82	LE_1-25_83_83	LE_1-25_85_85	LE_1-25_87_87	LE_1-6_105_105	LE_1-6_106_106	LE_1-6_11_11	LE_1-6_12_12	LE_1-6_13_13	LE_1-6_26_26	LE_1-6_27_27	LE_1-6_28_28	LE_1-6_39_39	LE_1-6_41_41	LE_1-6_42_42	LE_1-6_53_53	LE_1-6_54_54	LE_1-6_55_55	LE_1-6_70_70	LE_1-6_71_71	LE_1-6_72_72	LE_1-6_74_74	LE_1-6_93_93	LE_1-6_94_94	LE_1-6_95_95	LE_1-6_96_96	LE_1-6_97_97	Lymphnode_1_1	Lymphnode_100_100	Lymphnode_130_130	Lymphnode_16_16	Lymphnode_17_17	Lymphnode_2_2	Lymphnode_29_29	Lymphnode_30_30	Lymphnode_31_31	Lymphnode_4_4	Lymphnode_43_43	Lymphnode_44_44	Lymphnode_45_45	Lymphnode_56_56	Lymphnode_57_57	Lymphnode_58_58	Lymphnode_60_60	Lymphnode_75_75	Lymphnode_76_76	Lymphnode_77_77	Lymphnode_78_78	Lymphnode_79_79	Lymphnode_98_98
A0A075B6H9	251369	150332	0	0	419840	0	349356	297185	548774	341627	193939	267786	662995	228398	142899	60270.4	96746.9	497844	235691	669912	522181	435677	565497	1993400	271774	0	0	0	2642200	294635	0	928857	171949	680622	0	141667	0	0	636966	231642	604624	227852	843020	727918	650632	262296	1152680	2011690	182087	402828	229152	0	326465	250113	541282	348867	195442	808540	601743	406317	503889	265022	716117	303999	347156	365262	435768	231076	618189	88452.1	370746	896140	324943	592801	0	374675	344578	760038	403062	1097520	207785	1518600	305734	265441	411028	2751030	206874	169352	428216	362804	254213	215795
A0A0A0MS15	3010500	1419850	889339	116433	280318	705625	0	326820	0	0	105071	709887	773476	195983	0	0	198627	834660	506663	190925	923454	1778250	1290460	2897410	0	1645420	778656	0	1408730	955781	1085580	1621920	799698	1606900	221220	0	412975	199703	3326610	526837	894178	798922	1049630	1274870	0	886987	2637250	1788090	0	357172	823686	435669	463166	0	0	1276550	2005880	0	1144840	2722520	731784	952762	440122	1441900	1012310	225707	2973350	1341730	2649810	0	1260680	697284	517294	485190	259909	0	711330	1986690	1296700	840985	557542	2576900	1621590	879426	301477	639549	303061	443973	0	572299	157948	871298
A0A0B4J1X5	3794920	1327440	1074720	1020000	1784470	2040550	1021820	2079530	0	7278670	223779	3056840	4097590	5306840	215009	37712.2	951370	5823220	5971640	2631460	6000290	5564430	7265390	6159100	0	3543920	2140600	1485220	4147250	1498440	2147400	4415590	2816370	4561950	766665	662911	1658860	1101140	6650520	1908930	2036320	4314830	3483770	2536390	2593740	0	3802790	4958140	888730	0	1210210	1615490	1910140	0	0	6692490	4067800	2727850	7055490	9583540	1200920	6660880	4265410	2925040	0	6509200	11179200	3498120	8130780	579739	1819640	1367160	1426410	1812720	1503690	2315290	1515410	5716750	1625830	4421310	1416760	9089340	932702	2463270	514300	3075890	2547990	527800	1484000	588413	1240360	2257570
A0A0C4DH31	127991	0	0	0	0	0	0	0	0	0	0	89448.4	0	32433.8	0	0	0	157570	0	172819	39679.8	63183.3	34630.1	460505	0	0	0	0	79601.8	0	60192.7	0	44834.6	0	0	0	0	0	45773.7	43692.7	0	14962.4	0	0	0	0	0	73153.4	0	0	0	0	0	0	0	0	60662	0	0	0	171156	0	0	97712.7	0	0	0	83385.1	0	0	0	0	0	0	0	63297	0	57264.2	0	316605	0	289076	0	35679.2	0	89241.3	0	24871.9	0	0	0	0
A0A0C4DH38	0	0	0	0	1256190	0	0	0	0	658480	0	61647.4	0	0	0	0	0	930964	497882	0	179494	0	123460	3385771	0	0	0	0	6511445	0	0	608834	0	67624.4	0	0	0	0	1660460	0	0	491395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1469569	0	0	0	1186422.4	644506	646177	0	1029699	0	60368.4	3123738	372567	0	744177	0	0	0	0	0	0	355495	0	988962	768790	2415038	0	0	340639	286607	0	0	0	0	0	1122410
A0AVT1	6066149	5703666	7182330	5512013	12104909	6470602	9918860	8603949	12673404	7599163.1	3593023.2	7080495	9615830	8379280	2476369.4	2548722	10637723	10041058	7979340	17898760	7177059.8	7546359	9871051	20785623	3905400	6280834	8041263	8658714	13693864	9692654	15899917	16195359	11306041	4648632	14819127	2667152	11436588	7100076	13838505	15220354	13276725	11278539	14882184	11475758	12549942	13437183	9022791.2	13730592	10467309	10369344	9424468	5065140	9834112	3351583	8970194	12801928	12482647	5050545	10094039	13610668	8573434.1	9734594	17642296	18244832	8131415	7011880	16866046	11758712	10250691	3527692.3	11261199.6	9008673	14792578	15466477	26199482	14168039	17090645	17917135	7164088	14020915	14655584	16171276	10109500	12206976	15326391	11607760	11511288	7148976.4	11807349	5101561.3	8888062	12789952
A0FGR8	5785270	6167878	4737426	6441133	19418854	5271025	12052424	6001115	20528573	8113699	1179122	9917043	4372481	6657771	2668828	1155573.5	7737049	7579648	9849050.6	13286880	9125214	10248749	8398335	5874078	3904527	9241172	5149770	5272200	7968486	5120121	14267388	11537293	13624534	8305883	4003396	569810	10858418	6474053	13428575	11757771	6966703	10785988	18924881	12203483.3	13010229	12400417	6297538	15128677	6886639	13442454	15907183	4209250	11599200	141144	7319736	14530909	15778391	4140191	6048403	11822035	10439750.1	10775374	18159444	14516326	9824469	3799635	14788618	12114409	10167702	2406998	8109327	4816791	9385612.9	14128319	18399272	7826620	20048195	17426008	5419511	16786595	8437634	17660993	6542877	7096401	6994586	7379542	6586160.3	5629541	10027161	4767092	9478073	11405549
A0MZ66	86961	1610110	167256	221922	1767918.4	1908119	482054	5136030	4125334	1422952	346772	1218827	0	0	0	121799	1917195	569319	1265650	5875369	803320	138432	2742639	526927	0	0	562626	1652617	336889.6	596613	545228	3044186	259749	763664	2552880	168968	584213	172737	4207220	3860293	1435875	1268762	4283878	2183914	3156610	3609197	575681	3902354	411990	1173378	3529716	72801	0	1484492	317904	0	1034397	1133330	248399	1659690	2795870	225730	0	3674217	560111	2257633	4783069	0	3784080	1168568	396109	1711075.9	4068399.1	1403567.2	6712368.1	2143561.6	6201559	470723	1527383	2159590	0	2525469	2605215	1037210	0	326582	309995	1448056	397915	0	1598505	3285176
A1A5B4	0	949577	0	0	2855250	0	0	0	0	0	0	0	0	0	0	0	756674	931355	1575270	2893810	1399820	0	0	0	0	0	0	0	0	0	0	0	2189030	1275570	0	0	0	0	0	1034020	0	0	3134620	2506520	0	0	0	0	0	0	0	0	0	0	0	2277770	1092420	0	0	1756990	0	0	0	0	0	0	0	1208510	1068050	0	2024730	0	0	2614560	0	0	0	0	0	0	0	2706920	0	1146900	0	0	0	0	1421820	0	0	0
A1L0T0	782352	2557690	1948500	1248974	4986830	0	7388845	1766640	2621787	0	206930	1523080	0	1397735	3310690	0	3168822	3210445	8461475.2	4861100	1411238	1498886	8263039	4825730	0	2530940	284966	0	1335562	1762180	8309975	3727326	3176897	1667750	1365986	912697	1570560	3001160	6858170	4382862	4416500	7484160	2527078	1368449	7984250	7473750	7894710	11338343	3327851	944826	6680084	1237215	0	0	0	10360697	1615206	828948	1902501	2209242.9	6500786	7498477.2	6437018	10345452	11680568	1826350	1859354	1869829	2303457	1809004	1520583	4114030	3560213	1857750	4127277	3392921	7680730	3487645	972253	2060497	1311150	6789671	1232160	8271480	0	1262950	2761037	453723	9730600	2010540	0	7255480.5
