ProteinName	LE_1-12_10_10	LE_1-12_103_103	LE_1-12_104_104	LE_1-12_22_22	LE_1-12_23_23	LE_1-12_24_24	LE_1-12_36_36	LE_1-12_37_37	LE_1-12_38_38	LE_1-12_50_50	LE_1-12_51_51	LE_1-12_52_52	LE_1-12_66_66	LE_1-12_67_67	LE_1-12_68_68	LE_1-12_69_69	LE_1-12_8_8	LE_1-12_88_88	LE_1-12_89_89	LE_1-12_9_9	LE_1-12_90_90	LE_1-12_91_91	LE_1-12_92_92	LE_1-25_101_101	LE_1-25_102_102	LE_1-25_18_18	LE_1-25_19_19	LE_1-25_20_20	LE_1-25_32_32	LE_1-25_33_33	LE_1-25_34_34	LE_1-25_46_46	LE_1-25_47_47	LE_1-25_49_49	LE_1-25_5_5	LE_1-25_6_6	LE_1-25_61_61	LE_1-25_63_63	LE_1-25_64_64	LE_1-25_65_65	LE_1-25_7_7	LE_1-25_80_80	LE_1-25_82_82	LE_1-25_83_83	LE_1-25_85_85	LE_1-25_87_87	LE_1-6_105_105	LE_1-6_106_106	LE_1-6_11_11	LE_1-6_12_12	LE_1-6_13_13	LE_1-6_26_26	LE_1-6_27_27	LE_1-6_28_28	LE_1-6_39_39	LE_1-6_41_41	LE_1-6_42_42	LE_1-6_53_53	LE_1-6_54_54	LE_1-6_55_55	LE_1-6_70_70	LE_1-6_71_71	LE_1-6_72_72	LE_1-6_74_74	LE_1-6_93_93	LE_1-6_94_94	LE_1-6_95_95	LE_1-6_96_96	LE_1-6_97_97	Lymphnode_1_1	Lymphnode_100_100	Lymphnode_130_130	Lymphnode_16_16	Lymphnode_17_17	Lymphnode_2_2	Lymphnode_29_29	Lymphnode_30_30	Lymphnode_31_31	Lymphnode_4_4	Lymphnode_43_43	Lymphnode_44_44	Lymphnode_45_45	Lymphnode_56_56	Lymphnode_57_57	Lymphnode_58_58	Lymphnode_60_60	Lymphnode_75_75	Lymphnode_76_76	Lymphnode_77_77	Lymphnode_78_78	Lymphnode_79_79	Lymphnode_98_98
Q9NYK5	1033925	0	899354	497799.6	1836926	502556	1008906	811421	1052130	2119867	347316.3	1641435	397855	1204145	43034.9	262615	1264826	1049849	339232	2278360	1706382	1236799.6	1623623	4099291	0	1036358	711124	1115187	1135925	661179	1336502	1765802	2114671	0	1312748	223366.8	0	0	995761.2	1173836	1033450	2114829	2176916	1623144	1915989	2131330	170935	2543495	1021303.5	911488.7	738249	373989	66938.8	0	0	2225807	952356	0	837391	2111089	1292847	830663	2899324	2532740	519363	1553357	1668809	1076208	1063415	165912.6	671777	856248.6	427401	1295793	2885607	0	1277596	1081205	894130	964190	1427782	927544	2345512	1666242	1122991	375206	1230308	889780	2895014	588502	1227519.2	1604268
Q9NYL2	0	0	0	95387.1	688397	173205	0	0	0	0	0	0	0	0	0	0	0	105291	30305	0	101708	103116	81599.7	789894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108318	205896	0	0	614954	240591	469380	0	0	761176	0	0	0	0	501087	0	0	0	0	0	408089	512811	81529.4	0	0	345097	285736	0	0	0	0	0	196644	0	0	34480.7	0	0	0	0	0	135498	0	526598	0	0	0	0	64267.4	0	0	0	264299	0
Q9NYL4	5245799	6119081	5541991	1527123	10107526	2437484	10005440	8283213	7839535	4752977	661831	3009128	631973	6068804	1400417	1367966	5803340	7270884	5031227	9253505	3737045	4630250	5729190	10762235	2755192	561250	10555680	4296179	11253422	4873369	7653899	5414654	5996707	5239816	6753809	2579633	6087873	2199930	7321526	5273178	5004038	5567179	6882706	5655856	3789380	3733120	5250062	10205423	4467830	3514660	4566300	1181921	7570822	0	6024926	8353099	7692928	2947191	4044202	5213889	4454755	3211733	7327558	9803785	5368434	3125928	8027717	4701170	5999905	3416881	5617275	10304280	5789780	11234138	6310515	5064832	7079945	8221881	5879894	5564633	5495735	8968225	4354212	5611848	6509361	4485817	4681755	1718629	6365847	3012504	1929071	6690732
Q9NYL9	4960713	4410578.4	2907232	7121786.7	9752803	5100615	5019563	5776375	11696756	4666086	1429335.4	6348308.3	2562584	8089374	2955498	2017686	5461513	6543298	6684247	10455893.1	8053703	5929024	5499834.9	8680150	1802470	5828255	7684438	3631967.6	5899921	2064113	10263977	12500326	9673432	5612426.1	7679361.2	628598	8678983	2785062	6716490	10532598	4983066.8	8388833.2	10648844	6345846	5379127	9442710	10426230	6545994	2990650.6	6865149	5434285.1	5034736	3405731	2639240	3571392	20446525	10178192	5788177	5056376	13176511	6148219	10163610.5	8823273	9778494	10877223.9	2663044	15443864	12596540	8692037	598147.9	5634492	6972662	4473633	7387377.5	14023302	11182296	9615373	9837170	4589363.9	11361588	6689256	13108362	5410906	7098745.6	6363081	7331105	9105409	2934399.9	6494028	3662780.9	4221238.1	7860993
Q9NYU2	23056710	18394756	13618978	26101553	27559480	18078680	30098510	16136477	45942980	56986083	5583797	16029051	15021688	14912318	4831681	8106122	19163214	15558854	17477275	35876240	23492470	29315649	18409538	76243500	16013886	21595191	80621490	15855659	25896850	19041861	45679540	36206205	28354740	15573504	18070280	4552848	35338846	13618833	38399010	34839490	18917530	16269220	54600035	20239834	26599880	23040895	20702952	27952647	14783493	15664166	15807683	40941771	32038510	24976810.5	23650560	21287650	49034810	18671813	35402000	31686320	24847563	25837998	55223950	38448910	24835947	15560615	24099490	21905482	28458518	9448193	15487493	16491247	22091298	25447536	40666710	20097460	34921410	34146080	17014743	62191380	30323460	56503090	17457576	24582218	29022320	26462944	33053361	9850117	21132450	13064852	10254420	24869153
Q9NZ01	7152102	4657787	5028796	1769890	6993780	3856918	8752636	4854170	9322379	7470570	1777592	5452442	8460311	7954250	2783896.1	2055975	3796362	10788196	11566521	11695580	12450515	8926148	12235080	9888460	2899770	5148052	4196449	3735569	7702789	4712040	8326737	8785315	9824336	7396812	5396836	1129840	6777398	3946080	10705540	9502438	5907303	6462170	17101645	9904463	12286497	7132531	4219368	10450932	6054605	5420387	4778870	2814644	5893599	0	11727960	15804654	17036240	2116779	12443959	17007680	8951412	10254586	18392090	18223360	15616584	9532217	16160480	17973291	17970920	2466934	5259226	5453017	7064416	6112140	14746430	8980627	13569014	9171390	5895972	4166090	8851154	14846200	3816992	6447979	10169160	5687991	6505102	4728940	7100573	5160891	4804503	8053095
Q9NZ08	16898193	6334481	4693722	3772967	14234683.8	20774459	14716610	16551234	10871918	9345574.4	4564717.9	14452062	6970042	11927707	4264630	4546962	8101770	23917940	9172419.8	22344730	20628317	5919636	18980191	29095682	1562550	8625046	13795138.4	12003072	30792395	4535727	16281410	13679881.2	5841453	7254537	6973871	3010891	9679768	7157034	14047414	19714260	19652401	9983014.5	22582968	14566413	16698166	18271865	17830665	20538757	6357908	15380701	16639574	9631708	11760611	2985788	15209080	6006550	31768010	3352286	24026372	9672770	9864993.7	16696359	6195005	20989020	11992182	14080400	21542987	11038801	15653929	5759410	14356575	9293000	12912950	14583321	15930275	14044388	21356966	23786728	15632552	12010951	9730485	23882326	17287481	12655586	16538289	6077772	14653443	7906409	12021827	11071707	15997753.3	21318772
Q9NZ32	789313	1222000	1115880	538001	3859070	1495018	6259110	2597428	4359100	1255350	342604	2172096	225492	1452995	882698	1196663	1108789	0	2994403	6315540	421375	4928330	2107648	5809482	2867650	1261202	757180	940855	1029653	1254214	7050209	2442818	2025730	4359537	1338533.6	522877	5767260	0	5850629	1096594	2863914	2728521	6029880	3833932	547098	249153	2049250	0	2762130	3214159	2306517	860476	2143993	0	3549390	5405417	1852624	1013870	2421172	2213255	2835546	3165302	3818793	5329081	1930690	264475	2595365	3411473	1750682	4904260	3222876	559375	3046680	4762735	2730520	0	7012547	4253817	200430	3222272	0	4028901	1538330	3579660	5293340	1124450	1636669	192457	281296	159341	245502	3920355
Q9NZ43	1094156	0	1329887	0	2314280	0	2684001	1130652	596041	3245970	271541.3	791356	1611330	909238	0	0	835715	368775	3601758	1641636	3503160	2429092	7664320	12146808	0	2275154	308166	263252	1268960	1070077	1792101	2019433	5202139	2592437	558553	363749	3549130	2624230	6957951	10095968	407954	1246064	5222651	4311471	1772539	417942	251735	7644595	1638173	406814	1484985	0	1244880	0	0	14333595	3897460	1130027	1970760	3558806	1011690	2326419	797752	392081	6874800	2823850	739548	2365467	2259646	349173.9	1976359	321293	1160473	699545	926208	475675	1633862	2232778	818296	1612989	1789685	4193056	3142630	3898018	1714379.7	1463313	912720	288016	2582187	925160	1077120	4896201.7
Q9NZ45	2777677	3961870.7	1849263	5642141	10417997	5762424.8	2512291	3784505	6706503	3639557	1458964.5	2808065	2039836	5932561.7	2340972	1468294.9	6288367	3585137.3	1722019	9259048	3924252	4421844	6627137	9113336	3649160	5110568.2	6976203	4495550	5887129	7308370	8704781.4	3047410	2266656.9	3342072.5	7535298	528552	4553567	2638759	3977768	3473109.7	8239852	4855411.5	2611193	4047380	3495708.3	4089901.9	5578559	7701383	3105824	5960317.3	7639666.2	5982056.3	2341698	688551	6915840	7210084	4796962.9	1958535.6	6072556	2870205.9	3722407	5371907.6	7429298	8220133	5662080	5477273	7546829	5416681.6	1826807	4382077.9	6264737	6310817	5797695.6	4659730.5	18018943	4180814	12004092	6683569	7688347	5297941	6528101.7	7912465.7	3304538.9	6066840	5932780	4201889	5527651.4	1728901.8	4922553.8	1885310.1	4864951	4977374.4
Q9NZ63	272712	0	557869	0	920510	0	0	0	464662	0	0	204276	820293	174101	0	25385	0	0	0	388754	163017	61063.9	129437	0	0	0	0	0	0	1149970	937406	339827	0	143935	523467	0	0	295182	1325550	183877	290980	264401	360150	255358	472686	283640	0	0	1469030	0	1701310	432079	0	348403	0	337246	300443	0	0	280705	158942	235726	206754	0	0	0	402751	178228	228468	1113210	0	0	1052680	0	2579440	332426	0	0	0	288937	0	91813	79623.6	0	66036.6	0	228398	173424	225361	88147.2	103892	297787
Q9NZB2	11397339	11670071	3703127	11549078.4	14193192	12019496	18001196	8459148	26776589	14455224	2477733.5	8249512	6859790	9458949	2921240	2595112.4	14871263	12598332	24192008	21681516	9710855	15521451	11382344	31836976	11215459	9714973	10364314	3998000	12612711	8055641	22650672	23570668	11647046	14114735	12148710.7	924883	13935241	10100752	28032552	26709893	18763625	17278785	20201763	20683200	15487402	21354116	13662145	22735114	16820021.5	13339605	10311001	8439893.8	4350041	5516985	12028318	32772548	19058551	7823506	11631214	12327482	5605818	13679147	16891340	23431763	7319361	7402533	13997447	20041959	10156159	1942997	10526450	9009079	15563663	17925458	30555176	14690456	17044200	27030565	5572188.7	18106208	15584717	32681606	11657070	15468140	14100995	7025966	12600560	19258936	20984964	5663463	11755019	11015674
Q9NZC9	0	0	0	0	274650	0	379705	0	0	0	0	0	0	141816	0	0	0	115149	117399	331864	206297	0	210150	0	0	0	0	226954	155527	0	0	285889	0	0	232206	0	0	0	0	148839	0	0	0	0	0	140924	0	180210	0	214209	179990	0	0	0	0	202489	192731	0	0	196384	0	155603	232132	342163	0	0	172994	277104	0	0	30279.2	0	0	285263	407970	0	290193	189908	178900	263488	357219	300869	0	167665	91241.4	0	0	0	0	0	0	0
Q9NZD8	0	577179	448983	0	1288610	0	1206100	645755	1076400	927192	0	716953	659440	1059400	472003	0	1411590	939383	738442	2483980	735191	788729	1284640	625701	0	0	0	1385070	1130670	1006540	712245	1230310	847218	641089	1203050	479612	430957	345276	968481	946915	1263670	1008960	872241	758857	1270930	941666	682483	887403	931049	0	875039	0	0	1114020	1109060	1146820	719898	0	0	1151740	0	945387	948356	842868	566917	800692	1266390	0	654166	840616	431103	1422220	1310850	2118620	2625540	1718190	1467850	0	1220240	678841	944181	1276840	872572	973574	1225560	819073	0	413221	729764	357331	537484	695746
Q9NZI7	1027530	0	375816	1257390	1396160	0	0	896101	917316	835067	98736.4	850806	793243	879065	0	308207	1569300	1930100	1327640	0	502938	1113170	1432560	561416	0	0	0	0	0	797527	0	1037880	1331700	514136	502285	0	426291	115609	0	123213	599491	1611670	994545	117806	705571	475969	1894310	2377640	0	0	0	1758300	0	0	0	267785	1028390	214585	790394	707584	777720	1556870	2805690	0	1206850	479376	403226	1412340	1152320	0	1330530	634806	1195880	2595420	2300160	1283120	1608750	1272210	0	1094030	778276	179507	913565	903304	1310960	1593840	0	1162210	904004	1419900	1254290	1903790
Q9NZJ7	2693733	2606649	3261673	5084863	6425558	5069245	6345667	2920156	7375870	2168402	387088	2701685	4928432	4556169	121413	2938731	3526717	1354490	1410751	7475030	4355669	3871806	2164317	9982670	4027974	3950371	5578070	1547458	3100625	4498010	5747950	5694516	4852816	4854591	2796754	0	4220190	2464119	4920686	2150238	3202782	2630869	5804135	376866	3286709	2491173	6330732	8782055	4119443	6154029	6390561	4617535	3439937	1965586	6404434	8797930	6356945	1282402	599555	4998023	548722	3732258	5746050	6155440	3022921	923013	5441680	574019	4109332	520183	3097072	2248966	1097365	2995749	6622984	2041193	5758243	5564760	1900745	5644780	3581137	5465880	3152873	5844530	3519847	2056877	1063878	1637247	3277265	1052217.5	946078	2392086
Q9NZJ9	0	1418940	0	0	4834390	0	2115400	1164740	2472470	876664	0	1670850	345738	2371350	0	535896	0	1683970	0	0	1042640	1885850	1780310	2150650	0	0	0	0	0	1282400	1044310	0	2183700	2018940	0	0	2094070	1426120	2337100	866726	0	2304200	2957340	0	1345950	1794000	1735020	2835470	0	0	0	0	0	0	0	0	4306950	1048000	2683940	2864340	420828	1872890	2673670	3109120	1998260	1644600	2512540	2162690	2559130	0	1373090	0	0	3166160	0	1490080	0	0	0	0	1246310	0	0	1930290	1708760	0	348491	818773	1384770	703984	0	1960950
Q9NZK5	1125590	698853	483468	735034	2231353	1403587	1986500	1487610	814473	1006730	266190	1548704	238809	1252006	292420	255905	1344640	1372552	402047	2273590	482554	549703	1226959	1453170	0	665290	1423772	1265320	1676633	1304294	888122	1374670	831795	256667	848277	780600	1025400	607386	1661240	1360265	248838	1053924	2305535	1315345	1398381	953081	450589	1182270	561422	872703	607919	536439	491012	0	690546	1184060	910642	866152	1541590	804552	2008632	1233792	1536954	1393671	1085431	1520839	840942	1372742	1516055	1097138	637788	1407726	1083640	2491666	2037340	1513326	2017009	1542250	1386240	765774	1386446	1345440	838626	727902	1551030	1841990	1437466	569563	1079645	580740	859440	1228734
Q9NZL9	8574045	5742699	6525369	8553005	16654955.5	10881465	11977300	11303675	15461981	7968395.7	2982821	9699975.4	5292055	7127215	3184330.5	3214209.7	11949780	8360137.3	7737368	18606037	8804595	6015842	10184799	13503661	2705250	10467633	14681858	11307730	16585415	10410930	15330728	15657640	9448369	4778165.9	13022662	2505484	11005093	8351889	13135570	14307468	17186344	9616978	12204339	9525423	9891001	12023426	7607766	9838163	10666378	10024950	10584522	8279782	8130991	3198890	1955300	18400544	15413747	4617886	10561691	10372427	8770418.8	8399131.7	15809966	12579213	7161524.8	9710253	15268190	12439606.7	6957548	5099499	7806484	10901037	12034537	16163282	27524351	18230700	17500302	17038888	10379834	10938225	17810576	14149324	8539437.31	10170122	17173020	11936731	11377807	7600774	11554555	5133516.4	6642175	10029732
Q9NZM1	547804	388667.2	122482	937348	370498	1393144	123148	919496	4591344	2277785	131292.8	1596071	1925873	594732	0	0	786101.5	1012231.4	0	791481	2028969	2059251	2730294	21446445	106875	336706	1238301.6	965170	2126154	169874	2510709	1343647.2	702186	0	815135	0	1797786	0	3214315.4	1010362	2667004	570868	2637768	1759771	2673247	3469034	0	4797854	1673749	1422937	2904086	1067522	2870954	0	281921	3248620	421948.3	413116.4	937033	3505688	176141	987133	0	272256	2455633	404399	3635859	655394	2321140	0	532088	2155364	5140484	2624628	1259778	367538	4811388	2265807	1919858	4552010	4719880	3105168	2397782	2572933	550668	1369029	2470647	1350951.2	416174	2114666	2975323	1163276
Q9NZM3	693345	1023672.3	1352561	1521518	2819681	2154537	3452397	966090	3240801	1499940	419271	2793955	1599872	3327172	764598	386224	977479	2470927	2025616.9	803434	3394977	4832872.4	4736978	1585457	130608	1444651.4	2085740	596417	1772943	1627211	8079103	3528100	5125899	3185277.4	1668064	0	1086280	364758.5	4450672	3865907	3633762	4052324	5763676	3620084	9083636	2937297	1785370	5152012	973240	3159101	1820965	487384	744289	1360861	2898350	6683660	5758061	1027122	1223211	4332773.2	2638590	745531.8	6304711	6709098	2789516.1	2093369	3155241	2927345	2758198	62500.7	1208886	0	2765604	1154694	4111563	0	4956772	3450178	1687833	1316560	2675362	6078954	1347491.1	3630714	3527610	1273442	4123029	2189634	2663318	1501025	2429251	2723935
Q9NZN3	517262	379516	1059032	0	3519383	672919	2013180	316792	3905977	2913755	82397.8	2699807	296136	352082	35686.3	908563	857432	2083763	1538460	1714146	1534559	1616751	2133557	4498830	0	0	0	796907	342995	893117	153633	4931265	1836382	4107938	2490571	1223465.2	1282931	0	2599390	835929	495924	1729206	772565	366933	4051663	3745132	2089538	0	1418096	67975	0	0	220741	0	2664670	2045473	2073274	1963714	293197	3821675	1410394	2169556	2948525	2367390	3203560	1989563	5052220	1296094	3457906	1933760	1840930	775542	7035794	3801348	3569005	2807482	155837	408502	392928	461658	1090056	3830481	435416	1458537	254787	0	1080699	2021941	2352631	385292	2848134	1571861.3
Q9NZN4	6733561	26774228	29455729	19192314	27464491	37204161	40068619	58125470	84402850	29434625	23298757	28356081	98364690	40882252	15578816	11308112	13979481	68333490	46066704	32553884	116647590	83167060	75870460	78637750	31510514	26336779	20133606	7129560	21002594	28506483	40430196	41885495	54377460	82593808	21206205	3814438	82700040	38668422	74412374	45345360	32330514	31391927	87183790	66782683	147363320	43440169	37932698	109631510	13347608.4	32564899	54186079	37736650	107793330	4803008	36870000	35567788	30814596	27549805	55077860	69461256	39052170	39250002	131600030	53778540	80426361	44711714	60098644	59964853	67129760	7135941	59784972	26671749	21200631	35302520	42616320	39444206	65513960	120145190	12709181	104224940	41394181	92570870	17727907	62057790	27664970	79931200	42781364	14847191	46935174	30444886	106981470	43027736
