Entry	Entry name
O43324	MCA3_HUMAN
O43390	HNRPR_HUMAN
O43395	PRPF3_HUMAN
O43396	TXNL1_HUMAN
O43399	TPD54_HUMAN
O43414	ERI3_HUMAN
O43426	SYNJ1_HUMAN
O43427	FIBP_HUMAN
O43447	PPIH_HUMAN
O43464	HTRA2_HUMAN
O43488	ARK72_HUMAN
O43491	E41L2_HUMAN
O43493	TGON2_HUMAN
O43504	LTOR5_HUMAN
O43516	WIPF1_HUMAN
O43521	B2L11_HUMAN
O43566	RGS14_HUMAN
O43583	DENR_HUMAN
O43586	PPIP1_HUMAN
O43592	XPOT_HUMAN
O43598	DNPH1_HUMAN
O43615	TIM44_HUMAN
O43617	TPPC3_HUMAN
O43633	CHM2A_HUMAN
O43660	PLRG1_HUMAN
O43663	PRC1_HUMAN
O43665	RGS10_HUMAN
O43670	ZN207_HUMAN
O43674	NDUB5_HUMAN
O43676	NDUB3_HUMAN
O43678	NDUA2_HUMAN
O43681	GET3_HUMAN
O43684	BUB3_HUMAN
O43707	ACTN4_HUMAN
O43716	GATC_HUMAN
O43719	HTSF1_HUMAN
O43747	AP1G1_HUMAN
O43752	STX6_HUMAN
O43760	SNG2_HUMAN
O43765	SGTA_HUMAN
O43768	ENSA_HUMAN
O43772	MCAT_HUMAN
O43776	SYNC_HUMAN
O43795	MYO1B_HUMAN
O43805	SSNA1_HUMAN
O43809	CPSF5_HUMAN
O43813	LANC1_HUMAN
O43815	STRN_HUMAN
O43818	U3IP2_HUMAN
O43823	AKAP8_HUMAN
O43824	GTPB6_HUMAN
O43837	IDH3B_HUMAN
O43847	NRDC_HUMAN
O43852	CALU_HUMAN
O43865	SAHH2_HUMAN
O43866	CD5L_HUMAN
O43914	TYOBP_HUMAN
O43920	NDUS5_HUMAN
O43924	PDE6D_HUMAN
O43927	CXL13_HUMAN
O60216	RAD21_HUMAN
O60220	TIM8A_HUMAN
O60231	DHX16_HUMAN
O60232	ZNRD2_HUMAN
O60234	GMFG_HUMAN
O60240	PLIN1_HUMAN
O60256	KPRB_HUMAN
O60262	GBG7_HUMAN
O60264	SMCA5_HUMAN
O60271	JIP4_HUMAN
O60306	AQR_HUMAN
O60313	OPA1_HUMAN
O60315	ZEB2_HUMAN
O60341	KDM1A_HUMAN
O60343	TBCD4_HUMAN
O60443	GSDME_HUMAN
O60449	LY75_HUMAN
O60462	NRP2_HUMAN
O60486	PLXC1_HUMAN
O60488	ACSL4_HUMAN
O60493	SNX3_HUMAN
O60496	DOK2_HUMAN
O60499	STX10_HUMAN
O60502	OGA_HUMAN
O60504	VINEX_HUMAN
O60506	HNRPQ_HUMAN
O60508	PRP17_HUMAN
O60547	GMDS_HUMAN
O60551	NMT2_HUMAN
O60568	PLOD3_HUMAN
O60573	IF4E2_HUMAN
O60610	DIAP1_HUMAN
O60613	SEP15_HUMAN
O60645	EXOC3_HUMAN
O60664	PLIN3_HUMAN
O60669	MOT2_HUMAN
O60701	UGDH_HUMAN
O60711	LPXN_HUMAN
O60716	CTND1_HUMAN
O60739	EIF1B_HUMAN
O60749	SNX2_HUMAN
O60759	CYTIP_HUMAN
O60762	DPM1_HUMAN
O60763	USO1_HUMAN
O60784	TOM1_HUMAN
O60825	F262_HUMAN
O60826	CCD22_HUMAN
O60831	PRAF2_HUMAN
O60832	DKC1_HUMAN
O60841	IF2P_HUMAN
O60869	EDF1_HUMAN
O60879	DIAP2_HUMAN
O60880	SH21A_HUMAN
O60884	DNJA2_HUMAN
O60885	BRD4_HUMAN
O60888	CUTA_HUMAN
O60925	PFD1_HUMAN
O60927	PP1RB_HUMAN
O60934	NBN_HUMAN
O60942	MCE1_HUMAN
O75023	LIRB5_HUMAN
O75027	ABCB7_HUMAN
O75064	DEN4B_HUMAN
O75083	WDR1_HUMAN
O75116	ROCK2_HUMAN
O75122	CLAP2_HUMAN
O75131	CPNE3_HUMAN
O75146	HIP1R_HUMAN
O75150	BRE1B_HUMAN
O75152	ZC11A_HUMAN
O75165	DJC13_HUMAN
O75170	PP6R2_HUMAN
O75175	CNOT3_HUMAN
O75208	COQ9_HUMAN
O75223	GGCT_HUMAN
